順位,チェック母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
33,"チェック母父馬 Type [97]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
34,"チェック母父馬 Type [96]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
35,"チェック母父馬 Type [95]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
36,"チェック母父馬 Type [94]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
37,"チェック母父馬 Type [93]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
38,"チェック母父馬 Type [92]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
39,"チェック母父馬 Type [91]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
40,"チェック母父馬 Type [90]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
41,"チェック母父馬 Type [89]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
42,"チェック母父馬 Type [88]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
43,"チェック母父馬 Type [87]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
44,"チェック母父馬 Type [86]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
45,"チェック母父馬 Type [85]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
46,"チェック母父馬 Type [84]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
47,"チェック母父馬 Type [83]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
48,"チェック母父馬 Type [82]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
49,"チェック母父馬 Type [81]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
50,"チェック母父馬 Type [80]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
51,"チェック母父馬 Type [79]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
52,"チェック母父馬 Type [78]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
53,"チェック母父馬 Type [77]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
54,"チェック母父馬 Type [76]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
55,"チェック母父馬 Type [75]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
56,"チェック母父馬 Type [74]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
57,"チェック母父馬 Type [73]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
58,"チェック母父馬 Type [72]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
59,"チェック母父馬 Type [71]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
60,"チェック母父馬 Type [70]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
61,"チェック母父馬 Type [69]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
62,"チェック母父馬 Type [68]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
63,"チェック母父馬 Type [67]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
64,"チェック母父馬 Type [66]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
65,"チェック母父馬 Type [65]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
66,"チェック母父馬 Type [64]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
67,"チェック母父馬 Type [63]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
68,"チェック母父馬 Type [62]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
69,"チェック母父馬 Type [61]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
70,"チェック母父馬 Type [60]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
71,"チェック母父馬 Type [59]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
72,"チェック母父馬 Type [58]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
73,"チェック母父馬 Type [57]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
74,"チェック母父馬 Type [56]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
75,"チェック母父馬 Type [55]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
76,"チェック母父馬 Type [54]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
77,"チェック母父馬 Type [53]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
78,"チェック母父馬 Type [52]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
79,"チェック母父馬 Type [51]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
80,"チェック母父馬 Type [50]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
81,"チェック母父馬 Type [49]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
82,"チェック母父馬 Type [48]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
83,"チェック母父馬 Type [47]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
84,"チェック母父馬 Type [46]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
85,"チェック母父馬 Type [45]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
86,"チェック母父馬 Type [44]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
87,"チェック母父馬 Type [43]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
88,"チェック母父馬 Type [42]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
89,"チェック母父馬 Type [41]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
90,"チェック母父馬 Type [40]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
91,"チェック母父馬 Type [39]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
92,"チェック母父馬 Type [38]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
93,"チェック母父馬 Type [37]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
94,"チェック母父馬 Type [36]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
95,"チェック母父馬 Type [35]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
96,"チェック母父馬 Type [34]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
97,"チェック母父馬 Type [33]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
98,"チェック母父馬 Type [32]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
99,"チェック母父馬 Type [31]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
100,"チェック母父馬 Type [30]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
