順位,チェック種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
27,ヌレイエフ系,  1-  0-  1- 18/ 20,5.0%,5.0%,10.0%,98,68,84.6,7.6着,7.1人気,32.1,1960,685,0,0.0%,0.0%,5.0%,72.58,12.10,59.52
28,マッチェム系,  1-  0-  1-  9/ 11,9.1%,9.1%,18.2%,34,27,120.4,7.1着,7.4人気,55.9,380,150,0,0.0%,0.0%,9.1%,72.67,12.11,59.44
29,トップサイダー系,  0-  2-  1-  5/  8,0.0%,25.0%,37.5%,0,53,0.0,6.6着,9.1人気,72.9,,143,0,0.0%,25.0%,12.5%,72.85,12.14,59.30
30,テディ系,  0-  0-  1- 10/ 11,0.0%,0.0%,9.1%,0,0,0.0,7.7着,7.6人気,48.4,,,0,0.0%,0.0%,9.1%,72.36,12.06,59.70
31,"チェック種牡馬 Type [99]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
32,"チェック種牡馬 Type [98]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
33,"チェック種牡馬 Type [97]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
34,"チェック種牡馬 Type [96]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
35,"チェック種牡馬 Type [95]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
36,"チェック種牡馬 Type [94]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
37,"チェック種牡馬 Type [93]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
38,"チェック種牡馬 Type [92]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
39,"チェック種牡馬 Type [91]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
40,"チェック種牡馬 Type [90]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
41,"チェック種牡馬 Type [89]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
42,"チェック種牡馬 Type [88]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
43,"チェック種牡馬 Type [87]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
44,"チェック種牡馬 Type [86]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
45,"チェック種牡馬 Type [85]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
46,"チェック種牡馬 Type [84]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
47,"チェック種牡馬 Type [83]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
48,"チェック種牡馬 Type [82]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
49,"チェック種牡馬 Type [81]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
50,"チェック種牡馬 Type [80]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
51,"チェック種牡馬 Type [79]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
52,"チェック種牡馬 Type [78]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
53,"チェック種牡馬 Type [77]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
54,"チェック種牡馬 Type [76]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
55,"チェック種牡馬 Type [75]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
56,"チェック種牡馬 Type [74]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
57,"チェック種牡馬 Type [73]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
58,"チェック種牡馬 Type [72]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
59,"チェック種牡馬 Type [71]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
60,"チェック種牡馬 Type [70]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
61,"チェック種牡馬 Type [69]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
62,"チェック種牡馬 Type [68]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
63,"チェック種牡馬 Type [67]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
64,"チェック種牡馬 Type [66]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
65,"チェック種牡馬 Type [65]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
66,"チェック種牡馬 Type [64]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
67,"チェック種牡馬 Type [63]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
68,"チェック種牡馬 Type [62]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
69,"チェック種牡馬 Type [61]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
70,"チェック種牡馬 Type [60]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
71,"チェック種牡馬 Type [59]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
72,"チェック種牡馬 Type [58]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
73,"チェック種牡馬 Type [57]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
74,"チェック種牡馬 Type [56]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
75,"チェック種牡馬 Type [55]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
76,"チェック種牡馬 Type [54]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
77,"チェック種牡馬 Type [53]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
78,"チェック種牡馬 Type [52]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
79,"チェック種牡馬 Type [51]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
80,"チェック種牡馬 Type [50]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
81,"チェック種牡馬 Type [49]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
82,"チェック種牡馬 Type [48]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
83,"チェック種牡馬 Type [47]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
84,"チェック種牡馬 Type [46]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
85,"チェック種牡馬 Type [45]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
86,"チェック種牡馬 Type [44]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
87,"チェック種牡馬 Type [43]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
88,"チェック種牡馬 Type [42]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
89,"チェック種牡馬 Type [41]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
90,"チェック種牡馬 Type [40]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
91,"チェック種牡馬 Type [39]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
92,"チェック種牡馬 Type [38]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
93,"チェック種牡馬 Type [37]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
94,"チェック種牡馬 Type [36]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
95,"チェック種牡馬 Type [35]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
96,"チェック種牡馬 Type [34]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
97,"チェック種牡馬 Type [33]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
98,"チェック種牡馬 Type [32]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
99,"チェック種牡馬 Type [31]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
100,"チェック種牡馬 Type [30]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
