順位,チェック母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
14,他のネイティヴダンサー系, 29- 25- 39-288/381,7.6%,14.2%,24.4%,44,88,70.1,7.4着,7.1人気,50.6,590,369,0,0.0%,6.6%,10.2%,71.24,11.87,60.64
15,ボールドルーラー系, 29- 25- 22-353/429,6.8%,12.6%,17.7%,52,61,76.7,8.0着,7.9人気,59.9,783,352,0,0.0%,5.8%,5.1%,71.38,11.90,60.52
16,ロベルト系, 28- 27- 20-289/364,7.7%,15.1%,20.6%,53,65,83.0,7.7着,7.6人気,56.1,691,319,0,0.0%,7.4%,5.5%,71.20,11.87,60.68
17,ヘロド系, 25- 18- 16-215/274,9.1%,15.7%,21.5%,81,70,96.5,6.9着,7.1人気,47.0,898,327,0,0.0%,6.6%,5.8%,71.52,11.92,60.40
18,リファール系, 24- 29- 28-277/358,6.7%,14.8%,22.6%,69,126,82.9,7.4着,8.1人気,58.7,1038,560,0,0.0%,8.1%,7.8%,71.33,11.89,60.56
19,ヌレイエフ系, 19- 17- 15-119/170,11.2%,21.2%,30.0%,121,92,102.1,6.7着,6.9人気,45.3,1085,307,0,0.0%,10.0%,8.8%,70.73,11.79,61.08
20,レッドゴッド系, 16- 12- 10-164/202,7.9%,13.9%,18.8%,54,56,85.1,7.9着,7.6人気,54.4,686,298,0,0.0%,5.9%,5.0%,71.21,11.87,60.67
21,ストームバード系, 11- 13- 12-110/146,7.5%,16.4%,24.7%,66,74,70.9,7.8着,7.0人気,39.6,885,312,0,0.0%,8.9%,8.2%,70.98,11.83,60.86
22,テディ系, 10- 12-  6- 77/105,9.5%,21.0%,26.7%,95,73,103.4,7.2着,7.6人気,45.2,1000,274,0,0.0%,11.4%,5.7%,71.12,11.85,60.74
23,サドラーズウェルズ系, 10-  5- 11-100/126,7.9%,11.9%,20.6%,65,60,81.3,7.9着,7.4人気,53.8,828,304,0,0.0%,4.0%,8.7%,71.22,11.87,60.66
24,ヴァイスリージェント系,  8- 14- 14-121/157,5.1%,14.0%,22.9%,59,56,49.2,7.7着,7.0人気,43.5,1174,246,0,0.0%,8.9%,8.9%,70.87,11.81,60.95
25,マッチェム系,  7- 17- 13- 80/117,6.0%,20.5%,31.6%,24,71,50.1,7.0着,6.9人気,50.0,416,233,0,0.0%,14.5%,11.1%,71.25,11.88,60.63
26,キングマンボ系,  6-  4-  8- 40/ 58,10.3%,17.2%,31.0%,55,141,110.5,7.0着,7.3人気,46.7,532,454,0,0.0%,6.9%,13.8%,70.72,11.79,61.08
27,フォーティナイナー系,  4-  6-  9- 97/116,3.4%,8.6%,16.4%,23,78,37.3,7.5着,7.6人気,53.1,692,480,0,0.0%,5.2%,7.8%,70.95,11.83,60.89
28,トップサイダー系,  2-  2-  4- 17/ 25,8.0%,16.0%,32.0%,66,94,85.5,6.0着,6.8人気,39.2,830,295,0,0.0%,8.0%,16.0%,71.30,11.88,60.59
29,フェアリーキング系,  2-  1-  4- 35/ 42,4.8%,7.1%,16.7%,42,30,51.2,8.0着,7.4人気,72.8,885,184,0,0.0%,2.4%,9.5%,71.36,11.89,60.53
30,ディープインパクト系,  2-  0-  1-  6/  9,22.2%,22.2%,33.3%,72,55,115.8,5.7着,3.8人気,16.7,325,167,0,0.0%,0.0%,11.1%,70.81,11.80,61.01
31,"チェック母父馬 Type [99]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
32,"チェック母父馬 Type [98]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
33,"チェック母父馬 Type [97]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
34,"チェック母父馬 Type [96]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
35,"チェック母父馬 Type [95]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
36,"チェック母父馬 Type [94]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
37,"チェック母父馬 Type [93]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
38,"チェック母父馬 Type [92]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
39,"チェック母父馬 Type [91]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
40,"チェック母父馬 Type [90]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
41,"チェック母父馬 Type [89]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
42,"チェック母父馬 Type [88]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
43,"チェック母父馬 Type [87]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
44,"チェック母父馬 Type [86]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
45,"チェック母父馬 Type [85]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
46,"チェック母父馬 Type [84]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
47,"チェック母父馬 Type [83]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
48,"チェック母父馬 Type [82]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
49,"チェック母父馬 Type [81]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
50,"チェック母父馬 Type [80]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
51,"チェック母父馬 Type [79]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
52,"チェック母父馬 Type [78]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
53,"チェック母父馬 Type [77]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
54,"チェック母父馬 Type [76]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
55,"チェック母父馬 Type [75]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
56,"チェック母父馬 Type [74]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
57,"チェック母父馬 Type [73]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
58,"チェック母父馬 Type [72]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
59,"チェック母父馬 Type [71]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
60,"チェック母父馬 Type [70]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
61,"チェック母父馬 Type [69]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
62,"チェック母父馬 Type [68]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
63,"チェック母父馬 Type [67]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
64,"チェック母父馬 Type [66]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
65,"チェック母父馬 Type [65]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
66,"チェック母父馬 Type [64]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
67,"チェック母父馬 Type [63]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
68,"チェック母父馬 Type [62]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
69,"チェック母父馬 Type [61]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
70,"チェック母父馬 Type [60]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
71,"チェック母父馬 Type [59]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
72,"チェック母父馬 Type [58]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
73,"チェック母父馬 Type [57]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
74,"チェック母父馬 Type [56]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
75,"チェック母父馬 Type [55]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
76,"チェック母父馬 Type [54]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
77,"チェック母父馬 Type [53]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
78,"チェック母父馬 Type [52]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
79,"チェック母父馬 Type [51]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
80,"チェック母父馬 Type [50]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
81,"チェック母父馬 Type [49]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
82,"チェック母父馬 Type [48]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
83,"チェック母父馬 Type [47]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
84,"チェック母父馬 Type [46]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
85,"チェック母父馬 Type [45]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
86,"チェック母父馬 Type [44]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
87,"チェック母父馬 Type [43]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
88,"チェック母父馬 Type [42]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
89,"チェック母父馬 Type [41]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
90,"チェック母父馬 Type [40]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
91,"チェック母父馬 Type [39]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
92,"チェック母父馬 Type [38]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
93,"チェック母父馬 Type [37]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
94,"チェック母父馬 Type [36]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
95,"チェック母父馬 Type [35]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
96,"チェック母父馬 Type [34]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
97,"チェック母父馬 Type [33]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
98,"チェック母父馬 Type [32]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
99,"チェック母父馬 Type [31]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
100,"チェック母父馬 Type [30]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
